Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Actual Risk,Predicted Risk (XGB)
44,1,2,1,1,1,1804,12,1,Good,Good
36,1,2,1,4,1,1913,18,0,Good,Good
37,1,2,2,0,0,3676,6,1,Good,Good
25,0,2,2,0,1,1295,12,1,Good,Good
23,0,2,2,2,0,1200,12,3,Good,Good
27,1,2,1,0,2,1101,12,1,Good,Good
20,0,2,2,2,2,4675,12,1,Good,Good
57,1,2,0,0,1,2225,36,1,Good,Good
31,1,2,1,2,0,6350,30,4,Bad,Bad
55,1,2,1,4,2,1413,12,1,Good,Good
23,0,2,1,0,3,1275,10,4,Good,Good
29,1,2,1,1,1,2896,24,5,Good,Good
50,1,2,1,0,2,2241,21,4,Good,Good
27,0,2,1,0,0,2389,18,5,Good,Good
30,0,2,1,0,2,8133,36,1,Bad,Bad
34,1,1,1,0,3,2864,18,4,Good,Good
32,1,2,1,0,1,6078,12,1,Good,Good
38,1,2,1,2,1,368,6,5,Good,Good
58,0,1,1,0,0,385,12,5,Good,Good
23,1,1,1,0,1,1048,10,5,Good,Good
44,0,3,0,0,0,6419,24,1,Good,Good
48,1,2,1,0,0,1024,24,5,Good,Good
45,1,2,1,0,0,2303,24,1,Good,Good
24,1,2,1,0,1,458,9,5,Good,Good
60,1,2,1,0,0,2246,12,4,Good,Good
33,1,1,1,1,0,727,12,5,Good,Good
26,0,2,1,0,2,1453,18,5,Good,Good
29,0,2,1,0,2,2171,12,5,Good,Good
32,1,2,1,0,2,2697,9,5,Good,Good
22,1,2,1,4,1,1007,12,1,Good,Good
32,1,2,1,0,2,701,12,3,Good,Good
24,0,1,1,0,0,626,12,5,Good,Good
23,1,2,0,0,0,1845,45,5,Good,Good
27,1,3,1,0,1,14027,60,1,Bad,Bad
25,0,2,1,0,2,5771,30,5,Bad,Bad
34,0,2,1,4,2,1525,24,1,Good,Good
25,0,2,2,2,2,1283,22,1,Good,Good
29,0,2,1,0,2,518,6,5,Good,Good
53,1,2,0,0,0,7119,48,4,Bad,Bad
24,1,1,2,0,0,3021,24,4,Good,Good
38,1,2,1,2,2,2751,48,1,Good,Good
23,1,1,2,3,2,660,6,6,Good,Good
27,1,2,1,1,2,2463,24,1,Good,Good
30,1,3,1,1,0,2249,18,1,Good,Good
25,1,2,1,0,1,14421,48,0,Bad,Bad
33,0,2,2,0,0,3966,18,1,Good,Good
40,1,2,1,2,2,3077,30,5,Good,Good
29,0,2,1,0,1,959,9,4,Good,Good
28,0,1,1,0,3,745,9,5,Good,Good
35,1,1,1,0,2,2684,24,5,Good,Good
47,1,2,1,0,2,1393,12,3,Good,Good
32,1,3,1,0,0,1880,18,5,Good,Good
67,0,3,1,0,1,1199,9,3,Good,Good
30,1,2,0,1,1,3069,24,4,Good,Good
25,0,2,2,0,2,3972,24,4,Good,Good
68,1,3,1,0,0,14896,6,1,Good,Good
31,1,2,2,0,0,2302,36,5,Good,Good
47,1,1,1,0,0,731,8,1,Good,Good
25,0,2,2,0,0,1433,15,4,Good,Good
62,1,2,1,3,2,1338,6,2,Good,Good
27,0,2,1,0,1,1295,18,4,Good,Good
36,1,3,0,0,0,1872,6,4,Good,Good
36,1,2,1,0,1,884,18,1,Good,Good
47,1,1,1,0,2,2538,24,1,Good,Good
25,1,2,1,2,2,3105,24,5,Good,Good
46,1,3,1,2,2,7629,48,0,Bad,Bad
38,1,1,1,0,0,2171,12,1,Good,Good
21,1,2,2,0,1,2779,18,1,Good,Good
25,1,1,1,0,0,1138,9,5,Good,Good
27,1,2,1,0,0,1657,12,4,Good,Good
61,1,1,2,1,1,2767,21,0,Good,Good
31,1,1,1,0,1,1928,18,4,Good,Good
33,1,1,2,0,1,2384,36,6,Good,Good
41,0,1,2,2,2,1244,9,3,Good,Good
42,1,2,1,0,2,3331,12,4,Good,Good
54,1,2,0,0,2,1597,24,3,Good,Good
32,1,2,0,0,2,3863,24,0,Good,Good
57,1,1,1,0,0,709,12,5,Good,Good
37,1,2,1,0,1,802,15,5,Good,Good
31,0,1,1,0,2,1736,12,4,Good,Good
41,1,1,1,0,0,662,6,1,Good,Good
26,1,1,1,2,2,783,6,1,Good,Good
25,0,2,1,0,0,1835,21,5,Good,Good
39,0,1,1,2,1,932,6,3,Good,Good
36,1,1,1,0,0,1374,6,4,Good,Good
51,1,3,0,0,0,1164,8,7,Good,Good
58,0,1,0,0,0,6143,48,1,Bad,Bad
35,1,2,2,1,2,1204,6,1,Good,Good
24,0,2,2,4,1,433,6,3,Good,Good
50,1,2,1,0,2,1574,12,4,Good,Good
34,1,2,1,0,1,5800,36,1,Bad,Bad
31,1,2,2,0,0,3161,24,0,Good,Good
26,1,2,1,0,1,907,8,0,Good,Good
35,0,1,1,3,2,3447,12,3,Good,Good
41,1,2,1,0,0,2712,36,4,Good,Good
32,1,2,1,0,0,1938,24,5,Good,Good
33,1,2,1,0,2,1851,24,5,Good,Good
38,1,2,1,1,1,3512,24,1,Good,Good
42,1,2,1,2,1,2427,18,0,Good,Good
55,0,0,0,0,0,1190,18,6,Good,Good
31,1,1,1,0,2,1546,10,1,Good,Good
34,0,3,2,0,1,3017,12,4,Good,Good
22,1,1,2,0,1,276,9,1,Good,Good
38,0,0,1,0,2,926,12,1,Good,Good
27,1,2,1,0,1,1391,9,0,Good,Good
43,1,2,1,0,1,4057,24,4,Good,Good
32,0,1,1,1,1,931,6,1,Good,Good
31,0,2,2,2,2,2901,10,1,Good,Good
40,1,1,2,0,0,684,12,3,Good,Good
50,1,3,0,0,0,7476,48,3,Bad,Bad
20,0,2,2,3,2,2221,15,4,Good,Good
43,1,2,2,0,0,4843,12,1,Good,Good
43,1,2,1,0,2,2515,18,4,Good,Good
31,1,2,1,4,0,3651,12,1,Good,Good
29,1,1,1,2,3,1494,4,1,Good,Good
40,1,0,0,2,1,5381,48,7,Bad,Bad
37,1,3,1,2,3,3399,12,5,Good,Good
44,1,2,1,0,0,1478,15,4,Good,Good
31,1,2,1,1,1,1449,6,0,Good,Good
48,1,1,1,0,1,1743,24,5,Good,Good
52,1,2,1,0,2,3077,12,5,Good,Good
21,1,2,2,0,2,1766,6,4,Good,Good
24,1,2,1,2,1,2030,9,4,Good,Good
57,0,1,1,1,2,1154,11,5,Good,Good
24,0,2,1,0,0,4272,20,4,Good,Good
24,1,2,1,1,1,5595,72,5,Bad,Bad
39,1,1,2,0,0,2122,12,1,Good,Good
27,1,1,1,1,2,4139,24,0,Good,Good
36,1,2,0,2,2,846,7,5,Good,Good
31,0,2,1,1,2,1532,15,3,Good,Good
35,1,2,1,2,1,3976,21,4,Good,Good
66,1,1,1,3,1,766,12,5,Good,Good
23,1,1,1,0,1,1246,24,1,Good,Good
36,1,2,1,0,2,1542,12,0,Good,Good
31,1,2,1,2,2,929,24,4,Good,Good
33,1,2,1,0,2,3029,15,1,Good,Good
43,1,1,1,0,2,1533,18,4,Good,Good
38,1,2,0,2,1,6681,48,0,Bad,Bad
41,1,1,1,0,1,888,12,1,Good,Good
40,1,3,1,0,1,4297,18,4,Good,Good
66,1,3,1,0,3,1908,30,0,Good,Good
26,1,3,1,3,2,3235,24,5,Good,Good
24,0,3,1,1,1,7408,60,1,Bad,Bad
21,1,1,1,0,0,6568,24,0,Good,Good
22,0,2,2,0,0,3632,24,1,Good,Good
39,1,1,1,2,2,9436,54,1,Bad,Bad
