Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Actual Risk,Predicted Risk (XGB)
25,female,2,own,little,rich,5771,30,radio/TV,Bad,
34,female,2,own,,rich,1525,24,car,Good,
25,female,2,rent,quite rich,rich,1283,22,car,Good,
29,female,2,own,little,rich,518,6,radio/TV,Good,
53,male,2,free,little,little,7119,48,furniture/equipment,Bad,
24,male,1,rent,little,little,3021,24,furniture/equipment,Good,
38,male,2,own,quite rich,rich,2751,48,car,Good,
23,male,1,rent,rich,rich,660,6,repairs,Good,
27,male,2,own,moderate,rich,2463,24,car,Good,
30,male,3,own,moderate,little,2249,18,car,Good,
25,male,2,own,little,moderate,14421,48,business,Bad,
33,female,2,rent,little,little,3966,18,car,Good,
40,male,2,own,quite rich,rich,3077,30,radio/TV,Good,
29,female,2,own,little,moderate,959,9,furniture/equipment,Good,
28,female,1,own,little,,745,9,radio/TV,Good,
35,male,1,own,little,rich,2684,24,radio/TV,Good,
47,male,2,own,little,rich,1393,12,education,Good,
32,male,3,own,little,little,1880,18,radio/TV,Good,
67,female,3,own,little,moderate,1199,9,education,Good,
30,male,2,free,moderate,moderate,3069,24,furniture/equipment,Good,
25,female,2,rent,little,rich,3972,24,furniture/equipment,Good,
68,male,3,own,little,little,14896,6,car,Good,
31,male,2,rent,little,little,2302,36,radio/TV,Good,
47,male,1,own,little,little,731,8,car,Good,
25,female,2,rent,little,little,1433,15,furniture/equipment,Good,
62,male,2,own,rich,rich,1338,6,domestic appliances,Good,
27,female,2,own,little,moderate,1295,18,furniture/equipment,Good,
36,male,3,free,little,little,1872,6,furniture/equipment,Good,
36,male,2,own,little,moderate,884,18,car,Good,
47,male,1,own,little,rich,2538,24,car,Good,
25,male,2,own,quite rich,rich,3105,24,radio/TV,Good,
46,male,3,own,quite rich,rich,7629,48,business,Bad,
38,male,1,own,little,little,2171,12,car,Good,
21,male,2,rent,little,moderate,2779,18,car,Good,
25,male,1,own,little,little,1138,9,radio/TV,Good,
27,male,2,own,little,little,1657,12,furniture/equipment,Good,
61,male,1,rent,moderate,moderate,2767,21,business,Good,
31,male,1,own,little,moderate,1928,18,furniture/equipment,Good,
33,male,1,rent,little,moderate,2384,36,repairs,Good,
41,female,1,rent,quite rich,rich,1244,9,education,Good,
42,male,2,own,little,rich,3331,12,furniture/equipment,Good,
54,male,2,free,little,rich,1597,24,education,Good,
32,male,2,free,little,rich,3863,24,business,Good,
57,male,1,own,little,little,709,12,radio/TV,Good,
37,male,2,own,little,moderate,802,15,radio/TV,Good,
31,female,1,own,little,rich,1736,12,furniture/equipment,Good,
41,male,1,own,little,little,662,6,car,Good,
26,male,1,own,quite rich,rich,783,6,car,Good,
25,female,2,own,little,little,1835,21,radio/TV,Good,
39,female,1,own,quite rich,moderate,932,6,education,Good,
36,male,1,own,little,little,1374,6,furniture/equipment,Good,
51,male,3,free,little,little,1164,8,vacation/others,Good,
58,female,1,free,little,little,6143,48,car,Bad,
35,male,2,rent,moderate,rich,1204,6,car,Good,
24,female,2,rent,,moderate,433,6,education,Good,
50,male,2,own,little,rich,1574,12,furniture/equipment,Good,
34,male,2,own,little,moderate,5800,36,car,Bad,
31,male,2,rent,little,little,3161,24,business,Good,
26,male,2,own,little,moderate,907,8,business,Good,
35,female,1,own,rich,rich,3447,12,education,Good,
41,male,2,own,little,little,2712,36,furniture/equipment,Good,
32,male,2,own,little,little,1938,24,radio/TV,Good,
33,male,2,own,little,rich,1851,24,radio/TV,Good,
38,male,2,own,moderate,moderate,3512,24,car,Good,
42,male,2,own,quite rich,moderate,2427,18,business,Good,
55,female,0,free,little,little,1190,18,repairs,Good,
31,male,1,own,little,rich,1546,10,car,Good,
34,female,3,rent,little,moderate,3017,12,furniture/equipment,Good,
22,male,1,rent,little,moderate,276,9,car,Good,
38,female,0,own,little,rich,926,12,car,Good,
27,male,2,own,little,moderate,1391,9,business,Good,
43,male,2,own,little,moderate,4057,24,furniture/equipment,Good,
32,female,1,own,moderate,moderate,931,6,car,Good,
31,female,2,rent,quite rich,rich,2901,10,car,Good,
40,male,1,rent,little,little,684,12,education,Good,
50,male,3,free,little,little,7476,48,education,Bad,
20,female,2,rent,rich,rich,2221,15,furniture/equipment,Good,
43,male,2,rent,little,little,4843,12,car,Good,
43,male,2,own,little,rich,2515,18,furniture/equipment,Good,
31,male,2,own,,little,3651,12,car,Good,
29,male,1,own,quite rich,,1494,4,car,Good,
40,male,0,free,quite rich,moderate,5381,48,vacation/others,Bad,
37,male,3,own,quite rich,,3399,12,radio/TV,Good,
44,male,2,own,little,little,1478,15,furniture/equipment,Good,
31,male,2,own,moderate,moderate,1449,6,business,Good,
48,male,1,own,little,moderate,1743,24,radio/TV,Good,
52,male,2,own,little,rich,3077,12,radio/TV,Good,
21,male,2,rent,little,rich,1766,6,furniture/equipment,Good,
24,male,2,own,quite rich,moderate,2030,9,furniture/equipment,Good,
57,female,1,own,moderate,rich,1154,11,radio/TV,Good,
24,female,2,own,little,little,4272,20,furniture/equipment,Good,
24,male,2,own,moderate,moderate,5595,72,radio/TV,Bad,
39,male,1,rent,little,little,2122,12,car,Good,
27,male,1,own,moderate,rich,4139,24,business,Good,
36,male,2,free,quite rich,rich,846,7,radio/TV,Good,
31,female,2,own,moderate,rich,1532,15,education,Good,
35,male,2,own,quite rich,moderate,3976,21,furniture/equipment,Good,
66,male,1,own,rich,moderate,766,12,radio/TV,Good,
23,male,1,own,little,moderate,1246,24,car,Good,
36,male,2,own,little,rich,1542,12,business,Good,
31,male,2,own,quite rich,rich,929,24,furniture/equipment,Good,
33,male,2,own,little,rich,3029,15,car,Good,
43,male,1,own,little,rich,1533,18,furniture/equipment,Good,
38,male,2,free,quite rich,moderate,6681,48,business,Bad,
41,male,1,own,little,moderate,888,12,car,Good,
40,male,3,own,little,moderate,4297,18,furniture/equipment,Good,
66,male,3,own,little,,1908,30,business,Good,
26,male,3,own,rich,rich,3235,24,radio/TV,Good,
24,female,3,own,moderate,moderate,7408,60,car,Bad,
21,male,1,own,little,little,6568,24,business,Good,
22,female,2,rent,little,little,3632,24,car,Good,
39,male,1,own,quite rich,rich,9436,54,car,Bad,
